feature,importance
num__rank_difference,0.06781472271323592
num__points_difference,0.061367221255470145
num__opponent_total_cards,0.05210586194531821
num__team_avg_total_cards,0.05044321261422332
num__team_avg_yellow,0.049768270901723664
num__team_points,0.04781558058608123
num__team_rank,0.04572264534173604
num__opponent_avg_total_cards,0.04341318256502315
num__opponent_rank,0.04305373723099842
num__opponent_points,0.042662095402394073
num__team_total_cards,0.041705993746179865
num__opponent_avg_yellow,0.04111292972296747
num__opponent_games,0.04076355360558412
num__games,0.03217526182532329
num__year,0.03162253675264873
cat__round_Round of 16,0.02259740940399167
cat__round_Quarter-finals,0.015999208857529458
cat__round_Group stage,0.01533594564535454
num__opponent_avg_yellow_red,0.010102487569428538
num__opponent_avg_red,0.010023796166456706
num__team_avg_yellow_red,0.009983001833404231
cat__opponent_Morocco,0.009731271426500633
cat__opponent_Costa Rica,0.00895311032579307
cat__team_France,0.007940252452522532
num__team_avg_red,0.007269890425637761
cat__team_Portugal,0.005922692295887436
cat__team_England,0.005873988486568745
cat__team_Japan,0.005857928900435499
cat__round_Semi-finals,0.005301324215984346
cat__opponent_Argentina,0.0052897755328437665
cat__opponent_Colombia,0.004638138138289808
cat__team_Argentina,0.004368053408109179
cat__opponent_Portugal,0.004275362683902376
cat__team_Brazil,0.004240992506305833
cat__opponent_Spain,0.004079595062267144
cat__opponent_Mexico,0.004051641931741233
cat__team_Belgium,0.0038779724863639013
cat__opponent_Croatia,0.003847223447616535
cat__team_Spain,0.003804245378267438
cat__team_Netherlands,0.003647070827750474
cat__opponent_Peru,0.00355954050310525
cat__team_Denmark,0.0034934915164384693
cat__team_IR Iran,0.0033739766509711376
cat__opponent_Egypt,0.0033088687468665443
cat__team_Qatar,0.0032249619035697803
cat__opponent_Saudi Arabia,0.003224595008313969
cat__opponent_Poland,0.003198098226598294
cat__team_Croatia,0.003181538146082268
cat__team_USA,0.0030295854835836423
cat__team_Russia,0.003007869403798142
cat__opponent_France,0.0026413982016056754
cat__round_Final,0.0025976693052126745
cat__team_Uruguay,0.0025788794478769396
cat__opponent_Denmark,0.0025681323959775306
cat__opponent_Wales,0.002553687541203889
cat__team_Australia,0.002520391925242717
cat__opponent_Switzerland,0.0024986436983404016
cat__opponent_Belgium,0.0024514546139189973
cat__opponent_England,0.002390232434402184
cat__team_Poland,0.0023603734812550816
cat__team_Switzerland,0.0023561459666450314
cat__team_Sweden,0.0022921862859464114
cat__opponent_Senegal,0.0022314806016792378
cat__opponent_Australia,0.002187393071157085
cat__opponent_Tunisia,0.002130979722299481
cat__opponent_Ghana,0.002119472714588472
cat__opponent_Panama,0.002075886437119619
cat__opponent_Japan,0.002060293425214516
cat__team_Ecuador,0.002016108334581721
cat__team_Korea Republic,0.0019623566945720095
cat__team_Saudi Arabia,0.0019596506560637904
cat__opponent_Serbia,0.0019114121924398055
cat__opponent_USA,0.001709234167724932
cat__team_Morocco,0.0016770674554452672
cat__team_Germany,0.0016735214424173689
cat__opponent_Germany,0.0016591632658472396
cat__team_Colombia,0.001642223447046548
cat__opponent_Iceland,0.0015512458265186657
cat__team_Serbia,0.0015358549299137902
cat__opponent_Brazil,0.0015352782187094253
cat__opponent_Russia,0.0014981413988890062
cat__opponent_Korea Republic,0.0014892624500426857
cat__team_Mexico,0.0014790945111639556
cat__team_Tunisia,0.0014639165178825905
cat__team_Nigeria,0.0014344862011316031
cat__round_Third-place match,0.0014331036081281718
cat__opponent_Ecuador,0.0013022101768024623
cat__team_Costa Rica,0.0012871653007116904
cat__opponent_Uruguay,0.00123532469214693
cat__team_Panama,0.001212699663332456
cat__team_Egypt,0.0011804873150899704
cat__opponent_Canada,0.0011652095292144912
cat__team_Wales,0.0011117073461996412
cat__team_Senegal,0.0010019949827575771
cat__opponent_Sweden,0.0009368198787964449
cat__opponent_IR Iran,0.0009009082767022091
cat__team_Iceland,0.0007628948300310186
cat__team_Cameroon,0.0007288646968083475
cat__team_Canada,0.0006751480188247136
cat__team_Ghana,0.0006644723006457568
cat__opponent_Qatar,0.0006306423799396781
cat__opponent_Nigeria,0.000620230490917063
cat__opponent_Netherlands,0.0005153268173558227
cat__opponent_Cameroon,0.00038683149316887225
cat__team_Peru,0.0002735280151624288
