feature,importance
num__team_avg_yellow,0.12430081800386895
num__opponent_total_cards,0.11844188282641913
num__team_avg_total_cards,0.0691720201819483
num__rank_difference,0.06348511719966227
cat__opponent_Argentina,0.05240903133542049
num__points_difference,0.052351343388479236
num__opponent_avg_total_cards,0.04850201570323395
num__opponent_avg_yellow,0.045449030535661
cat__round_Quarter-finals,0.043407188775073366
cat__team_Netherlands,0.03471034972165318
num__year,0.03108865805947556
num__opponent_points,0.027585667325149953
num__team_total_cards,0.02582536415291302
num__opponent_games,0.025077989187224467
num__opponent_rank,0.024932537959542703
num__games,0.018931326567758953
num__team_avg_yellow_red,0.015940225086979423
num__team_points,0.01571075772693763
num__team_rank,0.015397763747787452
cat__round_Round of 16,0.011219619704441129
num__opponent_avg_red,0.010475289548208254
cat__team_Serbia,0.008381861931530094
cat__team_Japan,0.0076132412414357175
cat__opponent_Switzerland,0.007133953831263781
cat__round_Group stage,0.006899295622915048
cat__opponent_Mexico,0.006827261309090524
cat__opponent_Japan,0.004880733878374846
cat__opponent_Peru,0.0041087628721637555
cat__opponent_Uruguay,0.0039571141728294325
cat__team_France,0.0039027544206014543
cat__opponent_Costa Rica,0.0037456396712058724
num__team_avg_red,0.003262184742056086
cat__round_Semi-finals,0.0031779229333043324
num__opponent_avg_yellow_red,0.003114147301622877
cat__team_Colombia,0.0030217915124936983
cat__team_Uruguay,0.002643767857967095
cat__team_England,0.0025481371740417335
cat__opponent_Wales,0.0024617817686136425
cat__opponent_Morocco,0.002009909848295362
cat__team_Portugal,0.001972198419456302
cat__round_Final,0.0019649196633842016
cat__team_Australia,0.0019648470786321802
cat__team_Poland,0.0018375896413664672
cat__opponent_Portugal,0.0017883821630815153
cat__opponent_Ghana,0.0017559554647006992
cat__opponent_Australia,0.0017149618284545314
cat__opponent_USA,0.0016927956347142466
cat__opponent_Senegal,0.001552811590305781
cat__opponent_France,0.0015510977091698918
cat__team_Korea Republic,0.0015277790678609304
cat__team_Spain,0.001526688414337165
cat__opponent_Saudi Arabia,0.0015254072273059333
cat__opponent_Poland,0.0015159359595147345
cat__team_USA,0.001492838201769047
cat__opponent_Iceland,0.0010876507083605136
cat__opponent_Spain,0.0010044774943083778
cat__team_Ecuador,0.0009709373336809406
cat__team_Argentina,0.0008264207725491954
cat__opponent_Egypt,0.0008235976765266177
cat__opponent_Sweden,0.0007613634789296068
cat__team_IR Iran,0.000750531224725021
cat__team_Sweden,0.0007407827854584675
cat__opponent_Croatia,0.0006846578879193799
cat__opponent_Denmark,0.0006616963133709715
cat__opponent_England,0.0006279815285856828
cat__team_Denmark,0.0006055498649246456
cat__opponent_Germany,0.0005928873857020337
cat__opponent_Panama,0.0005404112662619913
cat__team_Croatia,0.0005051911786817755
cat__opponent_Ecuador,0.0004915463161358207
cat__team_Russia,0.00047573784191464683
cat__team_Germany,0.00047346971006839884
cat__opponent_IR Iran,0.0004719905792563385
cat__opponent_Serbia,0.0004013285495974272
cat__opponent_Korea Republic,0.00039904552990221136
cat__team_Qatar,0.00039558434880151066
cat__opponent_Colombia,0.0003839506665606489
cat__team_Tunisia,0.00038352301779291746
cat__team_Belgium,0.00037436911173214447
cat__team_Morocco,0.0003737246063279587
cat__opponent_Tunisia,0.00036708415055054815
cat__opponent_Canada,0.0003640581963633916
cat__opponent_Cameroon,0.00035039536016913153
cat__opponent_Belgium,0.0003157124051771098
cat__team_Brazil,0.0003070567555519466
cat__team_Saudi Arabia,0.0002939556705011631
cat__opponent_Brazil,0.0002841216072762458
cat__team_Mexico,0.00027092117037576523
cat__round_Third-place match,0.0002629337909923984
cat__team_Switzerland,0.0002382546196611587
cat__opponent_Russia,0.00022602061005643206
cat__team_Nigeria,0.0001569030720739676
cat__team_Wales,0.00015459718348088128
cat__team_Canada,0.00014071001229909802
cat__team_Costa Rica,0.00013676622070821575
cat__team_Panama,0.00013050561441914978
cat__opponent_Nigeria,0.00012675893243181192
cat__opponent_Qatar,0.00011542691045349161
cat__team_Peru,0.0001109936586747067
cat__team_Iceland,0.00010960507050398749
cat__opponent_Netherlands,8.284696739403779e-05
cat__team_Egypt,7.744400611361643e-05
cat__team_Senegal,6.209826857448385e-05
cat__team_Cameroon,1.7955676424752738e-05
cat__team_Ghana,0.0
